iter	MultiClass
0	1.276140701
1	1.194997994
2	1.111046722
3	1.030238977
4	0.9736348065
5	0.9139806401
6	0.8654998911
7	0.8263271612
8	0.7888239461
9	0.7560071501
10	0.7213033468
11	0.6898007021
12	0.6609684438
13	0.6381654495
14	0.6135787232
15	0.5909264459
16	0.5713353486
17	0.5577307765
18	0.5397516248
19	0.5180427226
20	0.5003547101
21	0.4832091828
22	0.4704359612
23	0.4592004937
24	0.4449731636
25	0.433123303
26	0.4216397802
27	0.4110478488
28	0.397125257
29	0.3888485554
30	0.379543948
31	0.3702295215
32	0.3621369761
33	0.3530739911
34	0.3467891511
35	0.3393481823
36	0.3335635856
37	0.3289094407
38	0.3222339571
39	0.3160450668
40	0.3104902647
41	0.3027693141
42	0.2979486371
43	0.2935043711
44	0.2909484901
45	0.2888974197
46	0.283111851
47	0.2787297977
48	0.2748507164
49	0.2689930029
50	0.2668587394
51	0.2638445882
52	0.2617992344
53	0.2593500183
54	0.2566937133
55	0.2532773826
56	0.2507730578
57	0.2474708697
58	0.2445326462
59	0.2400573268
60	0.2377428245
61	0.235433644
62	0.2330624074
63	0.2308721882
64	0.228299595
65	0.2244050385
66	0.2221585486
67	0.2204548866
68	0.218574498
69	0.2150227647
70	0.2131742205
71	0.2112414059
72	0.2100711539
73	0.208938779
74	0.207463632
75	0.2062515692
76	0.2052465369
77	0.2038502902
78	0.2017691359
79	0.1998517054
80	0.1978109408
81	0.1953542143
82	0.192596097
83	0.1893536502
84	0.1877299423
85	0.185976672
86	0.184417886
87	0.183202785
88	0.181668121
89	0.1808532435
90	0.1791416331
91	0.1783230148
92	0.1764087352
93	0.1744424112
94	0.1724356104
95	0.1715864499
96	0.169881148
97	0.169289764
98	0.168240102
99	0.1673652288
100	0.164536165
101	0.1633740482
102	0.1611129156
103	0.1605220706
104	0.1588567669
105	0.1574108539
106	0.1554800381
107	0.1543083675
108	0.154015576
109	0.1531838145
110	0.1521515137
111	0.150562336
112	0.1499594354
113	0.148961441
114	0.1484177123
115	0.1477269521
116	0.1466214032
117	0.1459287685
118	0.1450168567
119	0.1444292926
120	0.142856387
121	0.1423857985
122	0.1410153418
123	0.1405378491
124	0.1394710361
125	0.1390101193
126	0.1387339147
127	0.1380120774
128	0.1375156308
129	0.1366376231
130	0.1351258266
131	0.1347445064
132	0.1339536813
133	0.1333416093
134	0.1325225206
135	0.1321025885
136	0.1311233247
137	0.1306853363
138	0.1300808584
139	0.1298672564
140	0.1295353279
141	0.1283691123
142	0.1278392262
143	0.127272259
144	0.1267530575
145	0.1254398028
146	0.1249405821
147	0.124324017
148	0.1235843647
149	0.1231498247
150	0.1229174334
151	0.1217376102
152	0.1209029523
153	0.1198771831
154	0.1192255526
155	0.1188325808
156	0.1180045395
157	0.1174618349
158	0.1165123462
159	0.1157785066
160	0.1153389525
161	0.1150310167
162	0.1147439877
163	0.1144517259
164	0.1142198665
165	0.1138454865
166	0.1128330516
167	0.1121215568
168	0.11179912
169	0.1114834639
170	0.1105027215
171	0.1098762442
172	0.1096431536
173	0.1093684014
174	0.1086541831
175	0.108326124
176	0.1080326138
177	0.1072552237
178	0.1070665305
179	0.1064994681
180	0.1062972033
181	0.1059023061
182	0.1056251431
183	0.105315339
184	0.1048024923
185	0.1044994333
186	0.1043404306
187	0.1039054095
188	0.1036096796
189	0.1032930513
190	0.1030419819
191	0.1022333534
192	0.1019919556
193	0.1018318679
194	0.1014577682
195	0.1012704384
196	0.10098908
197	0.1007893218
198	0.1006052721
199	0.1001679097
200	0.09985111364
201	0.09952651483
202	0.09921813049
203	0.09862691662
204	0.09828108522
205	0.09778765342
206	0.09708305901
207	0.09692786734
208	0.09649846257
209	0.09630830978
210	0.09601345546
211	0.09557153849
212	0.095105141
213	0.09485945514
214	0.0945946905
215	0.09430005331
216	0.0940753219
217	0.09310914173
218	0.09298175683
219	0.09284480877
220	0.09240478421
221	0.09217469146
222	0.09190792068
223	0.09149844828
224	0.09128027441
225	0.09093419136
226	0.09034704206
227	0.09017680313
228	0.08979170074
229	0.08952741874
230	0.08923809373
231	0.08883001391
232	0.08848096222
233	0.08833456539
234	0.08818300491
235	0.0880321557
236	0.08779618782
237	0.08743298683
238	0.0865330935
239	0.08639617326
240	0.08616212766
241	0.08598749775
242	0.08578904786
243	0.08521991755
244	0.08505241359
245	0.08466851795
246	0.08448180549
247	0.08421295783
248	0.08405833425
249	0.08390443246
250	0.08369685421
251	0.08355817112
252	0.08340567821
253	0.08320147498
254	0.08298123853
255	0.08285291137
256	0.08259581499
257	0.08227622934
258	0.08202600525
259	0.08183602655
260	0.08175590714
261	0.08141700534
262	0.08116687809
263	0.08075472083
264	0.08058529582
265	0.08043802314
266	0.08027811027
267	0.07979420316
